UNIQUE_CARRIER_NAME,YEAR,QUARTER,Overall - OP_EXPENSES,Overall - OP_PROFIT_LOSS,Overall - OP_REVENUES,Rev - CHARTER_PAX,Rev - CHARTER_PROP,Rev - MAIL,Rev - MISC_OP_REV,Rev - PROP_BAG,Rev - PROP_FREIGHT,Rev - PUB_SVC_REVENUE,Rev - RES_CANCEL_FEES,Rev - TOTAL_CHARTER,Rev - TOTAL_MISC_REV,Rev - TOTAL_PROPERTY,Rev - TRANS_REVENUE,Rev - TRANS_REV_PAX,Exp - AIRCFT_SERVICES,Exp - FLYING_OPS,Exp - GENERAL_ADMIN,Exp - GENERAL_SERVICES,Exp - MAINTENANCE,Exp - PAX_SERVICE,Exp - PROMOTION_SALES,Exp - TRANS_EXPENSES
         Federal Express Corporation         ,2019-01-01T00:00:00Z,2,2604032,-618716,1985316,NA,8413,90,1137,NA,462011,NA,NA,NA,NA,NA,1513665,NA,262472,207151,141479,NA,89999,NA,50363,1803231
           American Airlines Inc.            ,2001-01-01T00:00:00Z,3,3447183,-1008646,2438537,998,NA,21032,6896,3849,34303,NA,NA,998,6896,38152,134896,2236563,517602,899773,629833,NA,469636,342912,337760,42897
            United Air Lines Inc.            ,2003-01-01T00:00:00Z,2,2369834,-255366,2114468,2414,594,20036,14335,6612,25918,NA,61016,3008,75351,32530,175828,1807715,494592,638743,126719,NA,331891,234759,223349,172744
            Delta Air Lines Inc.             ,2006-01-01T00:00:00Z,4,776480,-77201,699279,NA,NA,6368,-10383,653,54773,NA,1637,NA,-8746,55426,45721,600510,86955,338336,26702,NA,51830,43627,48638,116711
            Delta Air Lines Inc.             ,2005-01-01T00:00:00Z,2,3450027,-137039,3312988,12359,NA,6171,101831,13989,52804,NA,311,12359,102142,66793,887621,2237902,450226,1066635,180524,NA,228168,255456,231676,816879
         Federal Express Corporation         ,2017-01-01T00:00:00Z,4,2575571,-487206,2088365,NA,5149,118,13070,NA,467443,NA,NA,NA,NA,NA,1602585,NA,254791,163645,127732,NA,74984,NA,40733,1874123
            Delta Air Lines Inc.             ,2004-01-01T00:00:00Z,1,3324443,-383903,2940540,24713,NA,16170,106165,11710,44679,NA,249,24713,106414,56389,213262,2523592,492019,950293,176843,NA,238938,285210,251528,717974
            United Air Lines Inc.            ,2005-01-01T00:00:00Z,3,814093,56011,870104,NA,NA,10806,2794,2650,75714,NA,51,NA,2845,78364,73194,704895,86535,353859,37685,NA,75804,102961,70025,42090
           American Airlines Inc.            ,2010-01-01T00:00:00Z,1,3287636,-249135,3038501,982,NA,9259,11090,78545,30110,NA,69884,982,80974,108655,499152,2339479,542009,1187320,277371,NA,375621,243174,207697,331799
            Delta Air Lines Inc.             ,2006-01-01T00:00:00Z,1,614328,-141755,472573,NA,NA,5291,-13281,518,46522,NA,980,NA,-12301,47040,29917,402626,69927,252027,44744,NA,49162,37946,29016,81246
           American Airlines Inc.            ,2008-01-01T00:00:00Z,1,3736511,-272968,3463543,1238,NA,19424,11887,20503,48803,NA,70209,1238,82096,69306,568512,2722967,555023,1560611,160054,NA,380297,269807,239600,415487
            Delta Air Lines Inc.             ,2008-01-01T00:00:00Z,4,1287854,-146525,1141329,NA,NA,7351,36143,1394,66284,NA,2626,NA,38769,67678,94309,933222,135668,608472,46640,NA,59578,71434,55486,237879
            United Air Lines Inc.            ,2012-01-01T00:00:00Z,1,5170962.34,-220417.8,4950544.54,21606.7,0,15976.91,6616.92,80127.99,57298.15,0,74316.47,NA,NA,NA,1775800.09,2918801.31,660721.49,1628815.1,195393.92,NA,421037.48,264436.19,186484.61,1623103.73
            United Air Lines Inc.            ,2002-01-01T00:00:00Z,1,2577126,-446381,2130745,3613,NA,19675,9327,2343,33022,NA,50834,3613,60161,35365,188370,1823561,495456,736776,93204,NA,374539,264317,284451,179320
            Delta Air Lines Inc.             ,2008-01-01T00:00:00Z,2,1394511,-30165,1364346,NA,NA,7861,42100,1215,82263,NA,2536,NA,44636,83478,86280,1142091,150988,621076,53742,NA,78849,78556,80314,257567
